Transaction,department,EXPENSEACCOUNT,ITEM,QUANTITY,QUANTITYSHIPRECV,QUANTITYBILLED,RATE,rateamount,netamount,expectedshipdate,expectedreceiptdate,MEMO,mainline,UNIQUEKEY,kitmemberof
1126411,35,568,21,7,7,7,20,20,140,,,,,242242,
1126412,32,543,24,9,9,9,71,71,639,,,,,242243,
1126413,14,855,22,21,21,21,8,8,168,,,,,242244,
1126417,26,108,29,75,75,75,18,18,1350,,,,,242245,
1126421,11,607,17,24,24,24,10,10,240,,,,,242246,
1126426,16,305,21,57,57,57,20,20,1140,,,,,242247,
1126431,18,889,15,31,31,31,56,56,1736,,,,,242248,
1126434,32,607,20,42,42,0,28,28,1176,,,,,242249,
1126437,18,305,16,24,24,24,40,40,960,,,,,242250,
1126438,12,889,15,49,49,49,56,56,2744,,,,,242251,
1126443,23,108,30,66,0,0,21,21,1386,,,,,242252,
1126448,28,543,31,33,33,33,72,72,2376,,,,,242253,
1126452,34,305,15,39,39,39,56,56,2184,,,,,242254,
1126457,25,688,26,7,7,7,58,58,406,,,,,242255,
1126458,36,617,15,32,32,32,56,56,1792,,,,,242256,
1126460,25,568,23,6,6,6,97,97,582,,,,,242257,
1126465,22,108,24,36,36,36,71,71,2556,,,,,242258,
1126468,35,855,31,59,59,59,72,72,4248,,,,,242259,
1126469,24,543,16,60,60,60,40,40,2400,,,,,242260,
1126470,31,688,22,57,57,57,8,8,456,,,,,242261,
1126475,11,108,30,45,45,45,21,21,945,,,,,242262,
1126478,25,543,24,72,72,0,71,71,5112,,,,,242263,
1126482,30,543,28,10,10,10,12,12,120,,,,,242264,
1126484,33,543,16,92,92,92,40,40,3680,,,,,242265,
1126486,24,305,15,50,50,50,56,56,2800,,,,,242266,
1126487,11,617,27,22,22,22,3,3,66,,,,,242267,
1126488,26,108,28,17,17,17,12,12,204,,,,,242268,
1126490,37,305,25,86,86,86,78,78,6708,,,,,242269,
1126494,35,108,20,80,80,80,28,28,2240,,,,,242270,
