id,entityid,email,DEFAULTSHIPPINGADDRESS,,,
451,Target,AP@Target.com,101024,,,226
452,Gilead Sciences,AP@Gilead.com,100802,,,
453,Centene,AP@Centene.com,100952,,,
454,NVR,AP@NVR.com,100857,,,
455,Wells Fargo,AP@Wells.com,100994,,,
456,JPMorgan Chase,AP@JPMorgan.com,100981,,,
457,XPO Logistics,AP@XPO.com,100810,,,
458,TravelCenters of America,AP@TravelCenters.com,100893,,,
459,M&T Bank Corp.,AP@M&T.com,100934,,,
460,Old Republic International,AP@Old.com,101097,,,
461,Capital One Financial,AP@Capital.com,101143,,,
462,CBRE Group,AP@CBRE.com,101124,,,
463,Land O'Lakes,AP@Land.com,101075,,,
464,Humana,AP@Humana.com,100921,,,
465,EnLink Midstream,AP@EnLink.com,100958,,,
466,Stanley Black & Decker,AP@Stanley.com,101008,,,
467,FedEx,AP@FedEx.com,100835,,,
468,JetBlue Airways,AP@JetBlue.com,100862,,,
469,Beacon Roofing Supply,AP@Beacon.com,101129,,,
470,Autoliv,AP@Autoliv.com,100683,,,
471,Occidental Petroleum,AP@Occidental.com,101089,,,
472,Altria Group,AP@Altria.com,100996,,,
473,Amphenol,AP@Amphenol.com,100758,,,
474,Air Products & Chemicals,AP@Air.com,100709,,,
475,Mondelez International,AP@Mondelez.com,100925,,,
476,Synnex,AP@Synnex.com,101034,,,
477,Eli Lilly,AP@Eli.com,100936,,,
478,Raytheon,AP@Raytheon.com,101065,,,
479,Crown Holdings,AP@Crown.com,101069,,,
480,Cognizant Technology Solutions,AP@Cognizant.com,100681,,,
481,Franklin Resources,AP@Franklin.com,100915,,,
482,Bristol-Myers Squibb,AP@Bristol-Myers.com,100717,,,
483,PNC Financial Services,AP@PNC.com,100730,,,
484,J.C. Penney,AP@J.C..com,100974,,,
485,Realogy Holdings,AP@Realogy.com,100714,,,
486,Baxter International,AP@Baxter.com,101090,,,
487,Live Nation Entertainment,AP@Live.com,100715,,,
488,Las Vegas Sands,AP@Las.com,100875,,,
489,PVH,AP@PVH.com,100720,,,
490,Quanta Services,AP@Quanta.com,100898,,,
491,L Brands,AP@L.com,100870,,,
492,CHS,AP@CHS.com,100931,,,
493,Anixter International,AP@Anixter.com,100857,,,
494,World Fuel Services,AP@World.com,100924,,,
495,Foot Locker,AP@Foot.com,100748,,,
496,Kimberly-Clark,AP@Kimberly-Clark.com,100717,,,
497,US Foods Holding,AP@US.com,101031,,,
498,Xcel Energy,AP@Xcel.com,100925,,,
499,PG&E,AP@PG&E.com,100760,,,
500,Magellan Health,AP@Magellan.com,100755,,,
501,Fluor,AP@Fluor.com,100674,,,
502,Ingredion,AP@Ingredion.com,101078,,,
503,S&P Global,AP@S&P.com,100668,,,
504,DaVita,AP@DaVita.com,101011,,,
505,Regions Financial,AP@Regions.com,101091,,,
506,Campbell Soup,AP@Campbell.com,100789,,,
507,Coca-Cola,AP@Coca-Cola.com,101106,,,
508,Robert Half International,AP@Robert.com,100977,,,
509,AutoZone,AP@AutoZone.com,101032,,,
510,Universal Health Services,AP@Universal.com,100940,,,
511,Chemours,AP@Chemours.com,101098,,,
512,Qualcomm,AP@Qualcomm.com,101145,,,
513,NetApp,AP@NetApp.com,101041,,,
514,Colgate-Palmolive,AP@Colgate-Palmolive.com,100687,,,
515,Huntington Ingalls Industries,AP@Huntington.com,100973,,,
516,Omnicom Group,AP@Omnicom.com,100984,,,
517,DuPont de Nemours,AP@DuPont.com,100817,,,
518,Reliance Steel & Aluminum,AP@Reliance.com,100743,,,
519,Textron,AP@Textron.com,100722,,,
520,Exxon Mobil,AP@Exxon.com,101130,,,
521,BorgWarner,AP@BorgWarner.com,101034,,,
522,Darden Restaurants,AP@Darden.com,100783,,,
523,TJX,AP@TJX.com,100896,,,
524,Oneok,AP@Oneok.com,101054,,,
525,News Corp.,AP@News.com,101149,,,
526,Windstream Holdings,AP@Windstream.com,100922,,,
527,Group 1 Automotive,AP@Group.com,101137,,,
528,Pioneer Natural Resources,AP@Pioneer.com,100701,,,
529,Viacom,AP@Viacom.com,100845,,,
530,Quest Diagnostics,AP@Quest.com,100758,,,
531,Paccar,AP@Paccar.com,101006,,,
532,Univar,AP@Univar.com,101136,,,
533,Lear,AP@Lear.com,101090,,,
534,LKQ,AP@LKQ.com,100922,,,
535,Booz Allen Hamilton,AP@Booz.com,101119,,,
536,Hershey,AP@Hershey.com,100864,,,
537,Lockheed Martin,AP@Lockheed.com,101138,,,
538,Activision Blizzard,AP@Activision.com,100664,,,
539,Marsh & McLennan,AP@Marsh.com,100739,,,
540,Advanced Micro Devices,AP@Advanced.com,100874,,,
541,Citigroup,AP@Citigroup.com,101090,,,
542,Hartford Financial Services,AP@Hartford.com,101029,,,
543,Post Holdings,AP@Post.com,100792,,,
544,Charles Schwab,AP@Charles.com,101059,,,
545,C.H. Robinson Worldwide,AP@C.H..com,101072,,,
546,Northern Trust,AP@Northern.com,101082,,,
547,Ryder System,AP@Ryder.com,100658,,,
548,Berkshire Hathaway,AP@Berkshire.com,101064,,,
549,Bank of New York Mellon,AP@Bank.com,101014,,,
550,U.S. Bancorp,AP@U.S..com,101135,,,
551,Apple,AP@Apple.com,100962,,,
552,Fidelity National Financial,AP@Fidelity.com,101024,,,
553,Celanese,AP@Celanese.com,100919,,,
554,Motorola Solutions,AP@Motorola.com,101081,,,
555,Whirlpool,AP@Whirlpool.com,100872,,,
556,Hormel Foods,AP@Hormel.com,101132,,,
557,Marathon Oil,AP@Marathon.com,101067,,,
558,Goldman Sachs Group,AP@Goldman.com,101051,,,
559,VF,AP@VF.com,100934,,,
560,Kroger,AP@Kroger.com,101058,,,
561,Facebook,AP@Facebook.com,101066,,,
562,Exelon,AP@Exelon.com,101092,,,
563,Public Service Enterprise Group,AP@Public.com,100656,,,
564,Publix Super Markets,AP@Publix.com,100864,,,
565,Entergy,AP@Entergy.com,100678,,,
566,Morgan Stanley,AP@Morgan.com,100762,,,
567,Duke Energy,AP@Duke.com,100875,,,
568,Expedia Group,AP@Expedia.com,101092,,,
569,Sanmina,AP@Sanmina.com,101115,,,
