Transaction,Transaction_Type,Status,department,EXPENSEACCOUNT,ITEM,QUANTITY,QUANTITYSHIPRECV,QUANTITYBILLED,RATE,rateamount ,netamount ,expectedshipdate ,expectedreceiptdate ,MEMO ,mainline,UNIQUEKEY ,kitmemberof,delete_random_number,,,
1236466,PurchOrd,,11,407,329,10,10,10,13,13,130,2021-11-02,2021-11-07,,,242242,,55,,,
1236485,PurchOrd,,11,449,620,51,51,51,8,8,408,2020-04-21,2020-04-26,,,242243,,79,,,
1236531,PurchOrd,,35,569,312,31,31,31,1,1,31,2021-11-19,2021-11-24,,,242244,,32,,,
1236544,PurchOrd,,15,911,682,16,16,16,88,88,1408,2021-12-22,2021-12-27,,,242245,,54,,,
1236547,PurchOrd,,37,911,21,75,75,75,36,36,2700,2020-10-02,2020-10-07,,,242246,,7,,,
1236576,PurchOrd,,22,685,719,39,39,39,80,80,3120,2020-10-14,2020-10-19,,,242247,,3,,,
1236610,PurchOrd,,24,587,551,98,0,0,53,53,5194,2020-06-01,2020-06-06,,,242248,,96,,,
1236672,PurchOrd,,11,449,771,63,63,63,2,2,126,2020-03-07,2020-03-12,,,242249,,57,,,
1236677,PurchOrd,,33,587,296,3,3,0,2,2,6,2022-10-13,2022-10-18,,,242250,,90,,,
1236696,PurchOrd,,22,588,377,30,30,30,78,78,2340,2022-01-10,2022-01-15,,,242251,,43,,,
1236742,PurchOrd,,21,117,539,19,19,19,79,79,1501,2021-04-02,2021-04-07,,,242252,,9,,,
1236747,PurchOrd,,29,587,791,86,86,86,17,17,1462,2020-07-30,2020-08-04,,,242253,,84,,,
1236781,PurchOrd,,23,117,132,30,30,0,44,44,1320,2020-12-18,2020-12-23,,,242254,,92,,,
1236782,PurchOrd,,27,449,517,57,57,57,100,100,5700,2020-07-13,2020-07-18,,,242255,,54,,,
1236791,PurchOrd,,14,407,156,94,0,0,52,52,4888,2022-11-14,2022-11-19,,,242256,,96,,,
1236813,PurchOrd,,19,875,173,87,87,87,100,100,8700,2021-04-14,2021-04-19,,,242257,,60,,,
1236838,PurchOrd,,13,588,685,78,78,78,99,99,7722,2022-08-24,2022-08-29,,,242258,,26,,,
1236840,PurchOrd,,30,588,41,91,91,91,44,44,4004,2021-11-24,2021-11-29,,,242259,,68,,,
1236874,PurchOrd,,22,911,250,19,19,19,37,37,703,2021-06-26,2021-07-01,,,242260,,19,,,
1236933,PurchOrd,,26,449,584,72,72,72,52,52,3744,2021-11-15,2021-11-20,,,242261,,20,,,
1236955,PurchOrd,,36,911,436,43,43,43,68,68,2924,2021-09-29,2021-10-04,,,242262,,28,,,
1236981,PurchOrd,,33,685,586,13,13,0,60,60,780,2021-05-19,2021-05-24,,,242263,,94,,,
1237016,PurchOrd,,32,588,792,28,0,0,69,69,1932,2021-08-27,2021-09-01,,,242264,,95,,,
1237036,PurchOrd,,36,587,27,8,8,8,60,60,480,2022-11-13,2022-11-18,,,242265,,84,,,
1237062,PurchOrd,,27,588,593,76,0,0,78,78,5928,2021-03-05,2021-03-10,,,242266,,97,,,
